LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,MEALS,Website,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
K180,DOE,K,The Seeall Academy,,718-851-8070,5601 16 Ave,11204,1,38,987136,167594,20k180@schools.nyc.gov,2,http://seeallacademy.com,3,3,20K180,40.627029,-73.989672,7,44,470,3130809,3054920001,Borough Park                                                               
XASW,NYCEEC,X,Holy Spirit Head Start,,718-402-0081,1960 University Ave,10453,1,72,1008603,250307,rgershenlowy@cmcs.org,5,http://cmcs.org,9,3,10XASW,40.853175,-73.912682,7,14,243,2094544,2028680111,University Heights-Morris Heights                                          
Q050,DOE,Q,P.S. 050 Talfourd Lawn Elementary School,,718-526-5336,143 - 26 101 Ave,11435,1,72,1037795,192571,rmanjarrez@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/28/q050,3,3,28Q050,40.695011,-73.808162,7,28,206,,,Jamaica                                                                    
RAFR,NYCEEC,R,Mini World Preschool,,718-948-9535,7516 Amboy Rd,10307,1,18,915791,124835,miniworld2001@aol.com,5,http://miniworldpreschool.com,3,1,31RAFR,40.509177,-74.246427,7,51,24401,5107855,5079140005,Charleston-Richmond Valley-Tottenville                                     
KBEZ,NYCEEC,K,Friends Of Crown Heights Educational Center #11,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,929-234-5010,995 Carroll St,11225,1,57,996138,182583,Vgbenedio@foch.biz,3,http://fochdaycare.org,3,1,17KBEZ,40.66771,-73.957331,7,35,325,3033470,3012800054,Crown Heights South                                                        
KCJN,NYCEEC,K,Stillwell Avenue Prep School,,718-232-3628,6420 Bay Pkwy,11204,1,40,989394,163034,stillwellprep@yahoo.com,3,,7,1,20KCJN,40.614276,-73.981,7,47,254,3133705,3055500038,Bensonhurst West                                                           
K288,DOE,K,P.S. 288 The Shirley Tanyhill,,718-382-2100,2950 West 25 St,11224,1,36,986399,148501,dlamber3@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/21/k288,3,3,21K288,40.574411,-73.99194,7,47,342,3189538,3070540045,Seagate-Coney Island                                                       
KCHZ,NYCEEC,K,Little Hands Creative Minds,,718-676-2947,4111 Ave J,11210,1,16,1001996,168021,Lhcm718@gmail.com,3,http://daviduniversecity.org/,4,1,22KCHZ,40.627654,-73.936307,7,45,734,3215074,3077670006,Flatlands                                                                  
KCNH,NYCEEC,K,Kiddieprise - 1520 86th Street,,718-232-1936,1520 86th St,11228,1,18,981727,161849,info@purplecrayonny.com,5,http://purplecrayonny.com,9,3,20KCNH,40.611107,-74.009033,7,43,172,3166172,3063600045,Bath Beach                                                                 
MABT,NYCEEC,M,"Storefront Academy Harlem, The",,212-427-7900,70 East 129th St,10035,1,18,1001502,233529,llescouflair@storefrontacademy.org,3,http://storefrontacademy.org,3,1,05MABT,40.807947,-73.938024,7,9,206,1054214,1017530139,Central Harlem North-Polo Grounds                                          
QASR,NYCEEC,Q,"A Child's Place Too, Inc.",,646-302-8379,100 - 10 Astoria Blvd,11369,1,45,1020594,216770,tameshadaviscoles@yahoo.com,6,,3,2,30QASR,40.76197,-73.86917,7,21,367,,,East Elmhurst                                                              
QATT,NYCEEC,Q,Preschool R Us,,718-888-1958,150 - 15 41st Ave,11354,1,38,1035902,217337,Preschoolrus88@gmail.com,3,,7,1,25QATT,40.762838,-73.813789,7,20,1167,4443442,4050340014,Murray Hill                                                                
XAWQ,NYCEEC,X,Phipps Neighborhoods - Roscoe C Brown ECEC,,917-522-6002,3968 Third Ave,10457,1,18,1012154,245564,cdavis@phippsny.org,3,http://phippsneighborhoods.org,6,1,09XAWQ,40.840722,-73.899341,7,16,167,2000000,2029297501,Claremont-Bathgate                                                         
M142,DOE,M,P.S. 142 Amalia Castro,,212-598-3800,100 Attorney St,10002,1,30,988655,200914,rlevy4@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/01/m142,3,1,01M142,40.718383,-73.984452,7,1,1402,1004080,1003430001,Lower East Side                                                            
KCJR,NYCEEC,K,A To Z DCC,,718-368-1234,3053 Ave U,11229,1,29,1001782,158293,jaynelipkovich@gmail.com,3,http://a2zdaycare.com,7,1,22KCJR,40.600983,-73.936919,7,46,568,3199284,3073400046,Madison                                                                    
KCDM,NYCEEC,K,Butterfly DCC,,718-646-6272,2770 East 16th St,11235,1,20,997337,152095,sgontchar@yahoo.com,7,http://butterflydaycarecenter.com,7,1,21KCDM,40.584237,-73.952711,7,48,608,3246964,3087690036,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
XAPZ,NYCEEC,X,St. Anthony I,,718-823-7202,1750 Mansion St,10460,3,18,1020376,244553,nsoto@cmcs.org,3,http://cmcs.org,2,1,12XAPZ,40.837975,-73.869555,7,18,218,2028456,2039140022,West Farms-Bronx River                                                     
Q102,DOE,Q,P.S. 102 Bayview,,718-446-3308,55 - 24 Van Horn St,11373,1,20,1018078,206436,APisaca@schools.nyc.gov,5,http://schools.nyc.gov/schoolportals/24/q102,9,3,24Q102,40.733803,-73.878231,7,25,479,,,Elmhurst-Maspeth                                                           
XAJU,NYCEEC,X,Children's Aid At P.S. 211,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,347-821-4222,1919 Prospect Ave,10457,1,28,1014768,246818,Tracyp@childrensaidsociety.org,3,,6,1,12XAJU,40.843546,-73.889755,7,17,36901,2094582,2029510032,East Tremont                                                               
KBVL,NYCEEC,K,Ella Baker Charles Romain CDC Of Medgar Evers,,718-270-6018,1150 Carroll St,11225,1,16,997614,182305,Janetm@mec.cuny.edu,3,http://mec.cuny.edu,6,1,17KBVL,40.667253,-73.952195,7,35,321,3337869,3012890025,Crown Heights South                                                        
KBLM,NYCEEC,K,"Salvation Army, Bedford",<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-552-2690,110 Kosciusko St,11216,1,116,997939,190854,Sarah.Fay@USE.SalvationArmy.Org,3,http://ny.salvationarmy.org/greaternewyork/daycare-programs,3,1,13KBLM,40.690709,-73.950562,7,36,253,3049768,3017840011,Bedford                                                                    
X078,DOE,X,P.S. 078 Anne Hutchinson,,718-652-1244,1400 Needham Ave,10469,1,36,1025542,259409,cskerri@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/11/x078,3,3,11X078,40.878577,-73.851163,7,12,386,2060191,2047190001,Eastchester-Edenwald-Baychester                                            
QBHS,NYCEEC,Q,Bright Kids Day Care,,718-262-0909,108 - 42 Sutphin Blvd,11435,1,20,1040117,191442,shafique.hasan75@gmail.com,2,http://brightkidsdaycare.info,6,2,28QBHS,40.692952,-73.799347,7,28,198,4452281,4119460119,South Jamaica                                                              
K198,DOE,K,P.S. 198 Brooklyn,,718-282-4920,4105 Farragut Rd,11210,1,36,1001725,171434,jmorgan2@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k198,3,3,22K198,40.63694,-73.937339,7,45,836,3113388,3049880066,East Flatbush-Farragut                                                     
KBJS,NYCEEC,K,Friends Of Crown Heights 10,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,929-234-2821,1491 Bedford Ave,11216,1,51,996876,183970,Alexander@fochdaycare.org,3,http://fochdaycare.org,3,1,17KBJS,40.671739,-73.954672,7,35,219,3032188,3012530007,Crown Heights North                                                        
QAWQ,NYCEEC,Q,Forest Hills CCC,,718-263-5730,108 - 05 68th Rd,11375,1,18,1026956,204028,Natanielova@jccany.org,3,http://jccany.org,7,1,28QAWQ,40.726389,-73.845842,7,29,739,,,Forest Hills                                                               
QBBN,NYCEEC,Q,Noah's Ark Progressive Learning Center,,347-335-0044,6248 Mt Olivet Cres,11379,1,56,1013148,199305,noahsarkschool@aol.com,3,,7,1,24QBBN,40.714313,-73.895924,7,30,603,4530837,4027737501,Middle Village                                                             
XAOX,NYCEEC,X,CDC Of Mosholu Montefiore CC,,718-882-4000,3450 Dekalb Ave,10467,3,144,1017203,260454,cmorello@mmcc.org,1,http://mmc.org,7,1,10XAOX,40.881486,-73.881226,7,11,421,2096396,2033270001,Norwood                                                                    
KCHV,NYCEEC,K,"New York Creative Childcare, Inc.",,718-686-0388,5015 6th Ave,11220,1,36,981943,173649,nycreativechildcare@gmail.com,3,http://nycreativechildcare.com,7,1,15KCHV,40.643632,-74.008252,7,38,98,3393312,3007937501,Sunset Park East                                                           
QAOQ,NYCEEC,Q,Rockaway CCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-327-1384,1466 Bch Channel Dr,11691,1,18,1052952,161672,rockawayccc@aol.com,3,,7,1,27QAOQ,40.609989,-73.753586,7,31,103201,4449690,4155010002,Far Rockaway-Bayswater                                                     
XARC,NYCEEC,X,Fulton ( Center #4 ),<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-542-1161,1717 Fulton Ave,10457,1,54,1012465,245969,ngomez@lapen.com,3,,7,2,09XARC,40.841596,-73.897767,7,15,165,2100071,2029300075,Claremont-Bathgate                                                         
XATE,NYCEEC,X,Susan Wagner Day School,,718-547-0501,4102 White Plns Rd,10466,1,110,1023358,263832,susanwagnerdayschool1@yahoo.com,3,,3,1,11XATE,40.890779,-73.858814,7,12,422,2063602,2048430034,Williamsbridge-Olinville                                                   
KBJW,NYCEEC,K,YWCA - NYC Brownsville ELC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-342-2905,1592 East New York Ave,11212,1,9,1009505,184191,aalexander@ywcanyc.org,3,http://ywcanyc.org,7,1,23KBJW,40.672884,-73.909392,7,41,906,3339438,3034890001,Brownsville                                                                
MAZQ,NYCEEC,M,Children's Aid Society's P.S. 5 Early Childhood Program,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,212-567-5787,3703 Tenth Ave,10034,1,40,1005720,252159,mmedina@childrensaid.org,3,http://childrensaidsociety.org,7,1,06MAZQ,40.85899,-73.922894,7,10,299,1084201,1021500030,Marble Hill-Inwood                                                         
X161,DOE,X,P.S. 161 Ponce De Leon,,718-292-5478,628 Tinton Ave,10455,1,78,1010460,236117,esoto2@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/07/x161,3,3,07X161,40.814916,-73.905518,7,8,79,2004773,2026640029,Melrose South-Mott Haven North                                             
KBWQ,NYCEEC,K,Family Head Start Coney Island,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-265-7760,2960 West 27th St,11224,1,28,986177,148311,west27street@gmail.com,3,,3,1,21KBWQ,40.573668,-73.992869,7,47,342,3339183,3070520034,Seagate-Coney Island                                                       
KBQG,NYCEEC,K,M.S. Sunshine DCC,,718-648-8786,3096 Brighton 6th St,11235,1,35,994935,149503,mila2005yu@yahoo.com,7,,8,1,21KBQG,40.577079,-73.961363,7,48,36002,3245100,3086890045,Brighton Beach                                                             
X153,DOE,X,P.S. 153 Helen Keller,,718-904-5550,650 Baychester Ave,10475,1,18,1030375,257393,MKelley5@schools.nyc.gov,5,http://schools.nyc.gov/schoolportals/11/x153,9,3,11X153,40.872614,-73.833698,7,12,46201,2097470,2051410150,Co-op City                                                                 
QAQC,NYCEEC,Q,Howard Beach Judea Center,,718-848-1111,16205 90th St,11414,1,18,1028325,177403,fantasyrich@aol.com,3,,3,2,27QAQC,40.653523,-73.841391,7,32,892,4294161,4140640001,Lindenwood-Howard Beach                                                    
KCOG,NYCEEC,K,Stepz 2 Success CCC,,718-508-2199,1992 Nostrand Ave,11210,1,12,998595,171354,dadams0784@gmail.com,5,,9,3,22KCOG,40.637091,-73.948116,7,45,788,3121059,3052310054,Flatbush                                                                   
KBKY,NYCEEC,K,"Infant And Child Learning Center, The",,718-675-1249,670 Parkside Ave,11226,1,18,997762,178269,Margot.Sigmone@Downstate.edu,3,http://iclcdownstate.com,3,1,17KBKY,40.656185,-73.951251,7,40,820,3116057,3050570029,Prospect Lefferts Gardens-Wingate                                          
KBWH,NYCEEC,K,Jonathan Williams,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-387-5011,321 Roebling St,11211,1,31,995245,197276,vscott@lifetech.com,3,http://lifetech.org,7,1,14KBWH,40.70832,-73.960981,7,33,525,3341975,3021400026,North Side-South Side                                                      
RAGA,NYCEEC,R,"Wonder Years Preschool, The",,718-987-7596,381 Seaver Ave,10305,1,49,958599,151075,vfwonderyears@aol.com,7,http://wonderyearspreschoolsi.com,7,1,31RAGA,40.581231,-74.092643,7,50,11201,5053137,5036600044,Old Town-Dongan Hills-South Beach                                          
K129,CHARTER,K,Success Academy Charter School - Cobble Hill Pre - Kindergarten,,718-704-1460,284 Baltic St,11201,1,18,986088,188932,SACH.MainOffice@saschools.org,5,http://successacademies.org/schools/cobble-hill/,9,3,15K129,40.685419,-73.993351,7,33,69,3006401,3004020001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
MAVQ,NYCEEC,M,Mabel Barrett Fitzgerald DCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,212-874-0860,243 West 64th St,10023,1,20,987913,221443,lorin.jones@lsncny.org,3,,7,1,03MAVQ,40.774214,-73.986937,7,6,151,1030340,1011560020,Lincoln Square                                                             
X065,DOE,X,P.S. 065 Mother Hale Academy,,718-292-4628,677 East 141 St,10454,1,36,1008419,233518,jgonzalez@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/07/x065,3,3,07X065,40.807335,-73.912731,7,8,33,2003834,2025710001,Mott Haven-Port Morris                                                     
K146,DOE,K,P.S. 146,<P><Strong>Note:</strong> Students who qualify for Free and Reduced Lunch have priority after siblings.</p>,718-923-4750,610 Henry St,11231,1,36,983782,186982,amysumner@bns146.org,3,http://bns146.org,3,1,15K146,40.68007,-74.001377,7,39,63,3336036,3003690001,Carroll Gardens-Columbia Street-Red Hook                                   
XAPB,NYCEEC,X,Riverdale Presbyterian Church And Nursery School,,718-548-8260,4765 Henry Hudson Pkwy West,10471,3,40,1009462,265716,bmerceinrpcns@gmail.com,8,http://rpcns.com,3,2,10XAPB,40.896258,-73.908314,7,11,30701,2087605,2059120013,North Riverdale-Fieldston-Riverdale                                        
XART,NYCEEC,X,Brightside Academy,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-292-0812,331 East 150th St,10451,1,49,1006379,237157,evasquez@brightsideacademy.com,5,http://brightsideacademy.com,7,1,07XART,40.817477,-73.9202,7,17,65,2001854,2024100056,Melrose South-Mott Haven North                                             
Q360,DOE,Q,P.S. 360,,718-935-3610,199 - 10 112 Ave,11412,1,36,1051823,195289,RCooke3@schools.nyc.gov,9,,9,3,29Q360,40.702514,-73.756663,7,27,520,,,St. Albans                                                                 
Q112,DOE,Q,P.S. 112 Dutch Kills,,718-784-5250,25 - 05 37 Ave,11101,1,90,1002486,215081,rcampos@schools.nyc.gov,2,http://ps112q.com,3,3,30Q112,40.756877,-73.934538,7,26,51,,,Queensbridge-Ravenswood-Long Island City                                   
QBAF,NYCEEC,Q,Samuel Field YM & YWHA ( Bayside ),,718-423-6111,212 - 00 23rd Ave,11360,1,54,1045832,223897,brichman@sfy.org,7,http://sfy.org,3,1,25QBAF,40.781448,-73.778109,7,19,99704,4132408,4059000050,Ft. Totten-Bay Terrace-Clearview                                           
KBFC,NYCEEC,K,Shirley Chisholm CCC Site 4 Somers,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-498-6200,33 Somers St,11233,1,36,1008674,186600,shirleychisholmdcc4@live.com,3,,7,2,23KBFC,40.678664,-73.912016,7,41,371,3041852,3015380046,Ocean Hill                                                                 
Z041,DOE,K,Pre - K Center At 701 Caton Avenue,,212-637-8000,701 Caton Ave,11218,1,72,991647,175280,pre-k@schools.nyc.gov,5,,9,3,15Z041,40.647593,-73.973412,7,39,504,3000000,3053210064,Windsor Terrace                                                            
QAMV,NYCEEC,Q,SCO Family Of Services Jerome Hardeman Ece,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-779-1660,29 - 49 Gillmore St,11369,1,75,1021867,216706,mfadoul@sco.com,3,http://sco.org/programs/early-childhood/,7,1,30QAMV,40.762317,-73.865371,7,21,367,4431488,4016680007,East Elmhurst                                                              
M051,DOE,M,P.S. 051 Elias Howe,,212-315-7160,525 West 44th St,10036,1,54,985591,216656,nbock@schools.nyc.gov,3,http://ps51manhattan.com,3,3,02M051,40.761479,-73.995823,7,3,129,1089418,1010730014,Clinton                                                                    
Z027,DOE,R,Pre - K Center At 120 Stuyvesant Place,,212-637-8000,120 Stuyvesant Pl,10301,1,108,962771,173642,pre-k@schools.nyc.gov,5,,9,3,31Z027,40.642992,-74.076954,7,49,3,5000084,5000080060,West New Brighton-New Brighton-St. George                                  
Z076,DOE,K,Pre - K Center At 173 - 177 25th Street,,718-686-2282,173 - 177 25th St,11232,1,108,984606,180147,MInterl@schools.nyc.gov,5,,9,3,15Z076,40.661059,-73.998973,7,38,101,3009582,3006510047,Sunset Park West                                                           
K532,DOE,K,New Bridges Elementary,,718-363-8200,1025 Eastern Pkwy,11213,1,90,1002508,183178,kevyn@ps532newbridges.org,2,http://schools.nyc.gov/schoolportals/17/k532,3,3,17K532,40.669001,-73.934635,7,35,353,3037303,3013890035,Crown Heights North                                                        
QAVC,NYCEEC,Q,Blanche Community Progress Dcc#2,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-471-7881,4402 Bch Channel Dr,11691,1,80,1046424,156441,williamsflorence@hotmail.com,3,http://blanchecommunity.com,7,1,27QAVC,40.595668,-73.77586,7,31,97203,4463476,4159670001,Hammels-Arverne-Edgemere                                                   
Q499,DOE,Q,"The Queens College School For Math, Science And Technology",<P> <Strong>Note:</strong>  Program manages own admissions. Contact directly to apply.</P>,718-461-7462,148 - 20 Reeves Ave,11367,1,18,1033794,208475,hjacob2@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/25/q499,3,3,25Q499,40.739338,-73.82249,7,24,809,,,Kew Gardens Hills                                                          
Q148,DOE,Q,P.S. 148 Queens,,718-898-8181,89 - 02 32 Ave,11369,1,72,1017847,215510,nbirson@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/30/q148,3,3,30Q148,40.758375,-73.879103,7,25,339,,,Jackson Heights                                                            
K145,DOE,K,P.S. 145 Andrew Jackson,,718-821-4823,100 Noll St,11206,1,90,1003047,194870,LMalloy@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/32/k145,7,3,32K145,40.701692,-73.932338,7,34,425,3071915,3031530011,Bushwick South                                                             
KBLF,NYCEEC,K,"Bambi DCC, Inc.",,718-771-1603,138 Hancock St,11216,1,20,998021,187871,bambicare@gmail.com,3,http://bambidcc.com,8,1,13KBLF,40.682447,-73.950716,7,36,245,3052608,3018370052,Bedford                                                                    
Q266,DOE,Q,P.S. / I.S. 266,,718-479-3920,74 - 10 Commonwealth Blvd,11426,1,18,1059605,211058,lnestor2@schools.nyc.gov,5,http://schools.nyc.gov/schoolportals/26/q266,9,3,26Q266,40.74638,-73.727674,7,23,1567,4533153,4084010001,Bellerose                                                                  
K748,DOE,K,P.S. 748 Brooklyn School For Global Scholars,,718-382-3130,1664 Benson Ave,11214,1,36,982228,160397,dsalerno4@schools.nyc.gov,2,http://ps748scholars.com,3,3,20K748,40.607234,-74.007199,7,43,180,3167623,3063990026,Bath Beach                                                                 
M191,DOE,M,"The Museum Magnet School For Inquiry, Innovation And Imagination",,212-757-4343,210 West 61 St,10023,1,72,987709,220465,,3,http://schools.nyc.gov/schoolportals/03/m191,3,3,03M191,40.771925,-73.987328,7,6,147,1030320,1011520029,Lincoln Square                                                             
XAEL,NYCEEC,X,St. Raymond Elementary,,718-597-3232,2380 East Tremont Ave,10462,1,72,1024568,246118,patricia.brito@archny.org,5,,9,3,11XAEL,40.842332,-73.854483,7,18,21001,2097353,2039580080,Parkchester                                                                
Q133,DOE,Q,P.S. 133 Queens,,718-831-4016,248 - 05 86 Ave,11426,1,82,1062501,206100,iavakians@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/26/q133,3,3,26Q133,40.73171,-73.717884,7,23,1617,,,Bellerose                                                                  
K375,DOE,K,P.S. 375 Jackie Robinson School,,718-693-6655,46 Mckeever Pl,11225,1,36,995449,181484,sellman@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/17/k375,3,1,17K375,40.665035,-73.959031,7,35,325,3034356,3013010001,Crown Heights South                                                        
R026,DOE,R,P.S. 026 The Carteret School,,718-698-1530,4108 Victory Blvd,10314,1,18,931420,154880,lkump@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/31/r026,3,3,31R026,40.591702,-74.190648,7,50,29102,5107386,5026340001,New Springville-Bloomfield-Travis                                          
MADO,NYCEEC,M,Guardian Angel,,212-989-8280,193 10th Ave,10011,1,72,982837,211367,m007@adnyeducation.org,5,http://guardianangelschool-nyc.org,9,3,02MADO,40.746718,-74.00489,7,3,99,1012312,1006930034,Hudson Yards-Chelsea-Flatiron-Union Square                                 
MATU,NYCEEC,M,Grand St. Settlement Head Start Center,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,212-777-0656,294 Delancey St,10002,1,39,989985,200326,mrosa@grandsettlement.org,3,http://grandsettlement.org,7,1,01MATU,40.715824,-73.979547,7,2,1002,1078038,1003230001,Lower East Side                                                            
RAEW,NYCEEC,R,"4 Angels Day Care, Inc.",,718-876-6498,245 Simonson Ave,10303,1,13,942018,169003,my4angelsdaycareinc@msn.com,2,http://4angelsdaycareinc.com,7,1,31RAEW,40.63065,-74.152376,7,49,239,5026928,5011760042,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
M192,DOE,M,P.S. 192 Jacob H Schiff,,212-281-8395,500 West 138 St,10031,1,36,997451,238317,srivera32@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/06/m192,2,3,06M192,40.820953,-73.951145,7,7,22301,1084132,1019880166,Manhattanville                                                             
QAWS,NYCEEC,Q,It's My Turn,,347-385-0824,131 - 15 Liberty Ave,11419,1,20,1035688,190884,playmatesnurseryinc@gmail.com,5,,9,3,28QAWS,40.690128,-73.814706,7,28,15801,4204052,4095680049,South Ozone Park                                                           
X059,DOE,X,P.S. 059 The Community School Of Technology,,718-584-4730,2185 Bathgate Ave,10457,1,64,1013708,250098,sbasu@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/10/x059,3,3,10X059,40.852774,-73.893524,7,15,395,2011538,2030490037,Claremont-Bathgate                                                         
XAHL,NYCEEC,X,East Bronx DCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-617-2900,1113 Colgate Ave,10472,1,40,1017010,240188,eastbronxdaycare@verizon.net,3,,7,1,08XAHL,40.82629,-73.881509,7,17,52,2023714,2037360001,Soundview-Bruckner                                                         
QBHO,NYCEEC,Q,Holy Mountain,,718-359-6080,29 - 49 137th St,11354,1,18,1031005,219884,holymountainpreland@gmail.com,2,http://holymountain.weebly.com,1,1,25QBHO,40.771344,-73.831525,7,20,88901,,,Flushing                                                                   
MATQ,NYCEEC,M,Escuela Hispana Montessori 2,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,212-982-6650,180 Suffolk St,10002,1,29,988477,202038,blancaescuela180@gmail.com,3,,7,1,01MATQ,40.721067,-73.98501,7,2,3001,1004240,1003500008,Chinatown                                                                  
MAPH,NYCEEC,M,East Harlem Block Nursery 1,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,212-427-2571,215 East 106th St,10029,1,17,999773,227649,cviruet@ehbn.org,3,,6,1,04MAPH,40.791312,-73.944041,7,8,170,1080690,1016560001,East Harlem South                                                          
KCAK,NYCEEC,K,Kindstart Preschool,,917-834-4776,7702 New Utrecht Ave,11214,1,20,984073,163035,Sooobad6@aol.com,5,http://kindstartpreschool.org,2,2,20KCAK,40.614044,-74.000443,7,43,182,3161386,3062470026,Bensonhurst West                                                           
KCJX,NYCEEC,K,Mohdc - Smart Start,,718-915-3015,533 Blake Ave,11207,1,108,1012214,182425,rayed@mohdc.com,5,,9,3,19KCJX,40.667194,-73.89922,7,42,1134,3084260,3037670001,East New York (Pennsylvania Ave)                                           
K139,DOE,K,P.S. 139 Alexine A Fenty,,718-282-5254,330 Rugby Rd,11226,1,54,993758,172958,mmcdona10@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k139,7,3,22K139,40.641937,-73.965523,7,40,1522,3328235,3051440064,Flatbush                                                                   
K308,DOE,K,P.S. 308 Clara Cardwell,,718-574-2373,616 Quincy St,11221,1,28,1002040,190109,gpatter@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/16/k308,3,3,16K308,40.688695,-73.935499,7,36,293,3044493,3016300001,Stuyvesant Heights                                                         
QASY,NYCEEC,Q,Gryc Little Stars @ Notre Dame,,718-456-5437,6281 60th Pl,11385,1,36,1011175,198534,lstarsprek@thegryc.org,3,http://thegryc.org,3,2,24QASY,40.711706,-73.903229,7,30,593,4084519,4035190005,Ridgewood                                                                  
Z055,DOE,Q,Pre - K Center At P.S. 017 Henry David Thoreau,,212-637-8000,28 - 37 29 St,11102,1,36,1005664,219240,pre-k@schools.nyc.gov,5,,9,3,30Z055,40.769018,-73.922395,7,22,71,4537623,4005940029,Old Astoria                                                                
KBOZ,NYCEEC,K,Blake & Milford DCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-277-2003,334 Milford St,11208,1,18,1018537,183743,Blakeandmilforddaycare@yahoo.com,3,http://blakeandmilforddaycare.com,6,1,19KBOZ,40.670868,-73.876187,7,42,1194,3393496,3040560145,East New York                                                              
QALM,NYCEEC,Q,Professional Childcare Inc.,,718-229-5357,3803 Francis Lewis Blvd,11358,1,18,1043792,217155,ny1school@gmail.com,1,,7,1,26QALM,40.762514,-73.78529,7,19,1133,4136930,4061980001,Bayside-Bayside Hills                                                      
X463,DOE,X,Urban Scholars Community School,,718-842-8133,1180 Tinton Ave,10456,1,28,1011856,241080,djones51@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/12/x463,3,3,12X463,40.828419,-73.900721,7,17,135,2004869,2026720001,Morrisania-Melrose                                                         
X106,DOE,X,P.S. 106 Parkchester,,718-892-1006,2120 St Raymond's Ave,10462,1,36,1024405,244366,emontal@schools.nyc.gov,5,http://schools.nyc.gov/schoolportals/11/x106,9,3,11X106,40.837524,-73.8548,7,18,222,2041211,2039460007,Parkchester                                                                
KBLP,NYCEEC,K,Grand Street Settlement Dual #3,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-381-8900,319 Stanhope St,11237,1,40,1006862,195405,rebecarodriguez@grandsettlement.org,3,http://grandsettlement.org,2,2,32KBLP,40.70285,-73.918336,7,37,443,3074237,3032590023,Bushwick North                                                             
XABM,NYCEEC,X,Holy Rosary School,,718-652-1838,1500 Arnow Ave,10469,1,120,1027856,255340,deev16@verizon.net,3,http://holyrosaryschoolbronx.org,4,1,11XABM,40.867571,-73.842626,7,13,360,2054563,2045340045,Allerton-Pelham Gardens                                                    
RAGF,NYCEEC,R,SI YMCA Nursery - North,,718-981-4933,651 Broadway,10310,1,36,952576,167108,asicuranza@YMCAnyc.org,5,http://ymcanyc.org,3,1,31RAGF,40.624936,-74.114246,7,49,121,5008326,5003030047,New Brighton-Silver Lake                                                   
